Site,Date,Time,DateTime,Month,tempC,I,GPP.instant,K.instant,ER.instant,DO.meas,atmo.pressure
Site2,10/24/2022,6:41:00 AM,10/24/2022 6:41,10,12.05,0.1097,0.0001,0.0334,0.0651,8.46,0.99
Site2,10/24/2022,6:46:00 AM,10/24/2022 6:46,10,12.05,0.1097,0.0001,0.0334,0.0651,8.46,0.99
Site2,10/24/2022,6:51:00 AM,10/24/2022 6:51,10,12.04,0.6889,0.0004,0.0334,0.0651,8.41,0.99
Site2,10/24/2022,6:56:00 AM,10/24/2022 6:56,10,12.04,0.6889,0.0004,0.0334,0.0651,8.41,0.99
Site2,10/24/2022,7:01:00 AM,10/24/2022 7:01,10,12.01,2.2215,0.0011,0.0334,0.0649,8.48,0.99
Site2,10/24/2022,7:06:00 AM,10/24/2022 7:06,10,12.01,2.2215,0.0011,0.0334,0.0649,8.48,0.99
Site2,10/24/2022,7:11:00 AM,10/24/2022 7:11,10,11.95,4.5688,0.0024,0.0333,0.0647,8.54,0.99
Site2,10/24/2022,7:16:00 AM,10/24/2022 7:16,10,11.95,4.5688,0.0024,0.0333,0.0647,8.54,0.99
Site2,10/24/2022,7:21:00 AM,10/24/2022 7:21,10,11.94,7.1543,0.0037,0.0333,0.0646,8.61,0.99
Site2,10/24/2022,7:26:00 AM,10/24/2022 7:26,10,11.94,7.1543,0.0037,0.0333,0.0646,8.61,0.99
Site2,10/24/2022,7:31:00 AM,10/24/2022 7:31,10,11.89,9.623,0.005,0.0333,0.0644,8.67,0.99
Site2,10/24/2022,7:36:00 AM,10/24/2022 7:36,10,11.89,9.623,0.005,0.0333,0.0644,8.67,0.99
Site2,10/24/2022,7:41:00 AM,10/24/2022 7:41,10,11.89,11.7423,0.0061,0.0333,0.0644,8.69,0.99
Site2,10/24/2022,7:46:00 AM,10/24/2022 7:46,10,11.89,11.7423,0.0061,0.0333,0.0644,8.69,0.99
Site2,10/24/2022,7:51:00 AM,10/24/2022 7:51,10,11.91,13.912,0.0072,0.0333,0.0645,8.72,0.99
Site2,10/24/2022,7:56:00 AM,10/24/2022 7:56,10,11.91,13.912,0.0072,0.0333,0.0645,8.72,0.99
Site2,10/24/2022,8:01:00 AM,10/24/2022 8:01,10,11.89,15.1552,0.0078,0.0333,0.0644,8.77,0.99
Site2,10/24/2022,8:06:00 AM,10/24/2022 8:06,10,11.89,15.1552,0.0078,0.0333,0.0644,8.77,0.99
Site2,10/24/2022,8:11:00 AM,10/24/2022 8:11,10,11.91,17.4699,0.009,0.0333,0.0645,8.81,0.99
Site2,10/24/2022,8:16:00 AM,10/24/2022 8:16,10,11.91,17.4699,0.009,0.0333,0.0645,8.81,0.99
Site2,10/24/2022,8:21:00 AM,10/24/2022 8:21,10,11.93,19.5005,0.0101,0.0333,0.0646,8.86,0.99
Site2,10/24/2022,8:26:00 AM,10/24/2022 8:26,10,11.93,19.5005,0.0101,0.0333,0.0646,8.86,0.99
Site2,10/24/2022,8:31:00 AM,10/24/2022 8:31,10,11.91,20.8206,0.0107,0.0333,0.0645,8.92,0.99
Site2,10/24/2022,8:36:00 AM,10/24/2022 8:36,10,11.91,20.8206,0.0107,0.0333,0.0645,8.92,0.99
Site2,10/24/2022,8:41:00 AM,10/24/2022 8:41,10,11.94,22.5138,0.0116,0.0333,0.0647,8.96,0.99
Site2,10/24/2022,8:46:00 AM,10/24/2022 8:46,10,11.94,22.5138,0.0116,0.0333,0.0647,8.96,0.99
Site2,10/24/2022,8:51:00 AM,10/24/2022 8:51,10,12,27.1965,0.014,0.0334,0.0649,8.99,0.99
Site2,10/24/2022,8:56:00 AM,10/24/2022 8:56,10,12,27.1965,0.014,0.0334,0.0649,8.99,0.99
Site2,10/24/2022,9:01:00 AM,10/24/2022 9:01,10,12.02,22.5611,0.0116,0.0334,0.065,9,0.99
Site2,10/24/2022,9:06:00 AM,10/24/2022 9:06,10,12.02,22.5611,0.0116,0.0334,0.065,9,0.99
Site2,10/24/2022,9:11:00 AM,10/24/2022 9:11,10,12.07,25.1482,0.013,0.0334,0.0652,9.06,0.99
Site2,10/24/2022,9:16:00 AM,10/24/2022 9:16,10,12.07,25.1482,0.013,0.0334,0.0652,9.06,0.99
Site2,10/24/2022,9:21:00 AM,10/24/2022 9:21,10,12.15,25.8586,0.0133,0.0335,0.0656,9.17,0.99
Site2,10/24/2022,9:26:00 AM,10/24/2022 9:26,10,12.15,25.8586,0.0133,0.0335,0.0656,9.17,0.99
Site2,10/24/2022,9:31:00 AM,10/24/2022 9:31,10,12.24,31.1274,0.0161,0.0336,0.066,9.23,0.99
Site2,10/24/2022,9:36:00 AM,10/24/2022 9:36,10,12.24,31.1274,0.0161,0.0336,0.066,9.23,0.99
Site2,10/24/2022,9:41:00 AM,10/24/2022 9:41,10,12.3,77.1021,0.0398,0.0336,0.0663,9.17,0.99
Site2,10/24/2022,9:46:00 AM,10/24/2022 9:46,10,12.3,77.1021,0.0398,0.0336,0.0663,9.17,0.99
Site2,10/24/2022,9:51:00 AM,10/24/2022 9:51,10,12.41,79.8253,0.0412,0.0337,0.0668,9.3,0.99
Site2,10/24/2022,9:56:00 AM,10/24/2022 9:56,10,12.41,79.8253,0.0412,0.0337,0.0668,9.3,0.99
Site2,10/24/2022,10:01:00 AM,10/24/2022 10:01,10,12.55,68.009,0.0351,0.0338,0.0674,9.31,0.99
Site2,10/24/2022,10:06:00 AM,10/24/2022 10:06,10,12.55,68.009,0.0351,0.0338,0.0674,9.31,0.99
Site2,10/24/2022,10:11:00 AM,10/24/2022 10:11,10,12.68,119.9629,0.0619,0.0339,0.068,9.33,0.99
Site2,10/24/2022,10:16:00 AM,10/24/2022 10:16,10,12.68,119.9629,0.0619,0.0339,0.068,9.33,0.99
Site2,10/24/2022,10:21:00 AM,10/24/2022 10:21,10,12.85,144.2586,0.0744,0.034,0.0688,9.36,0.99
Site2,10/24/2022,10:26:00 AM,10/24/2022 10:26,10,12.85,144.2586,0.0744,0.034,0.0688,9.36,0.99
Site2,10/24/2022,10:31:00 AM,10/24/2022 10:31,10,13.2,178.9261,0.0923,0.0343,0.0705,9.46,0.99
Site2,10/24/2022,10:36:00 AM,10/24/2022 10:36,10,13.2,178.9261,0.0923,0.0343,0.0705,9.46,0.99
Site2,10/24/2022,10:41:00 AM,10/24/2022 10:41,10,13.27,87.8765,0.0453,0.0344,0.0709,9.44,0.99
Site2,10/24/2022,10:46:00 AM,10/24/2022 10:46,10,13.27,87.8765,0.0453,0.0344,0.0709,9.44,0.99
Site2,10/24/2022,10:51:00 AM,10/24/2022 10:51,10,13.29,225.1494,0.1162,0.0344,0.071,9.55,0.99
Site2,10/24/2022,10:56:00 AM,10/24/2022 10:56,10,13.29,225.1494,0.1162,0.0344,0.071,9.55,0.99
Site2,10/24/2022,11:01:00 AM,10/24/2022 11:01,10,13.61,259.5328,0.1339,0.0347,0.0726,9.59,0.99
Site2,10/24/2022,11:06:00 AM,10/24/2022 11:06,10,13.61,259.5328,0.1339,0.0347,0.0726,9.59,0.99
Site2,10/24/2022,11:11:00 AM,10/24/2022 11:11,10,13.92,72.8634,0.0376,0.0349,0.0742,9.65,0.99
Site2,10/24/2022,11:16:00 AM,10/24/2022 11:16,10,13.92,72.8634,0.0376,0.0349,0.0742,9.65,0.99
Site2,10/24/2022,11:21:00 AM,10/24/2022 11:21,10,14.04,145.7267,0.0752,0.035,0.0747,9.6,0.99
Site2,10/24/2022,11:26:00 AM,10/24/2022 11:26,10,14.04,145.7267,0.0752,0.035,0.0747,9.6,0.99
Site2,10/24/2022,11:31:00 AM,10/24/2022 11:31,10,14.14,192.471,0.0993,0.0351,0.0753,9.59,0.99
Site2,10/24/2022,11:36:00 AM,10/24/2022 11:36,10,14.14,192.471,0.0993,0.0351,0.0753,9.59,0.99
Site2,10/24/2022,11:41:00 AM,10/24/2022 11:41,10,14.67,176.4634,0.0911,0.0356,0.0781,9.74,0.99
Site2,10/24/2022,11:46:00 AM,10/24/2022 11:46,10,14.67,176.4634,0.0911,0.0356,0.0781,9.74,0.99
Site2,10/24/2022,11:51:00 AM,10/24/2022 11:51,10,15,155.3882,0.0802,0.0358,0.0799,9.65,0.99
Site2,10/24/2022,11:56:00 AM,10/24/2022 11:56,10,15,155.3882,0.0802,0.0358,0.0799,9.65,0.99
Site2,10/24/2022,12:01:00 PM,10/24/2022 12:01,10,15.24,70.9216,0.0366,0.036,0.0813,9.52,0.99
Site2,10/24/2022,12:06:00 PM,10/24/2022 12:06,10,15.24,70.9216,0.0366,0.036,0.0813,9.52,0.99
Site2,10/24/2022,12:11:00 PM,10/24/2022 12:11,10,15.28,172.4851,0.089,0.0361,0.0815,9.44,0.99
Site2,10/24/2022,12:16:00 PM,10/24/2022 12:16,10,15.28,172.4851,0.089,0.0361,0.0815,9.44,0.99
Site2,10/24/2022,12:21:00 PM,10/24/2022 12:21,10,15.74,72.7923,0.0376,0.0365,0.0841,9.42,0.99
Site2,10/24/2022,12:26:00 PM,10/24/2022 12:26,10,15.74,72.7923,0.0376,0.0365,0.0841,9.42,0.99
Site2,10/24/2022,12:31:00 PM,10/24/2022 12:31,10,16.06,64.2438,0.0332,0.0367,0.086,9.45,0.99
Site2,10/24/2022,12:36:00 PM,10/24/2022 12:36,10,16.06,64.2438,0.0332,0.0367,0.086,9.45,0.99
Site2,10/24/2022,12:41:00 PM,10/24/2022 12:41,10,16.27,150.1786,0.0775,0.0369,0.0873,9.36,0.99
Site2,10/24/2022,12:46:00 PM,10/24/2022 12:46,10,16.27,150.1786,0.0775,0.0369,0.0873,9.36,0.99
Site2,10/24/2022,12:51:00 PM,10/24/2022 12:51,10,16.43,106.039,0.0547,0.0371,0.0882,9.32,0.99
Site2,10/24/2022,12:56:00 PM,10/24/2022 12:56,10,16.43,106.039,0.0547,0.0371,0.0882,9.32,0.99
Site2,10/24/2022,1:01:00 PM,10/24/2022 13:01,10,16.6,69.5955,0.0359,0.0372,0.0893,9.23,0.99
Site2,10/24/2022,1:06:00 PM,10/24/2022 13:06,10,16.6,69.5955,0.0359,0.0372,0.0893,9.23,0.99
Site2,10/24/2022,1:11:00 PM,10/24/2022 13:11,10,16.73,133.3658,0.0688,0.0373,0.0901,9.14,0.99
Site2,10/24/2022,1:16:00 PM,10/24/2022 13:16,10,16.73,133.3658,0.0688,0.0373,0.0901,9.14,0.99
Site2,10/24/2022,1:21:00 PM,10/24/2022 13:21,10,16.9,65.3331,0.0337,0.0375,0.0911,9.13,0.99
Site2,10/24/2022,1:26:00 PM,10/24/2022 13:26,10,16.9,65.3331,0.0337,0.0375,0.0911,9.13,0.99
Site2,10/24/2022,1:31:00 PM,10/24/2022 13:31,10,17.12,53.351,0.0275,0.0377,0.0926,9.14,0.99
Site2,10/24/2022,1:36:00 PM,10/24/2022 13:36,10,17.12,53.351,0.0275,0.0377,0.0926,9.14,0.99
Site2,10/24/2022,1:41:00 PM,10/24/2022 13:41,10,17.2,60.8576,0.0314,0.0378,0.0931,8.9,0.99
Site2,10/24/2022,1:46:00 PM,10/24/2022 13:46,10,17.2,60.8576,0.0314,0.0378,0.0931,8.9,0.99
Site2,10/24/2022,1:51:00 PM,10/24/2022 13:51,10,17.27,36.2186,0.0187,0.0378,0.0935,8.72,0.99
Site2,10/24/2022,1:56:00 PM,10/24/2022 13:56,10,17.27,36.2186,0.0187,0.0378,0.0935,8.72,0.99
Site2,10/24/2022,2:01:00 PM,10/24/2022 14:01,10,17.36,38.4208,0.0198,0.0379,0.0941,8.74,0.99
Site2,10/24/2022,2:06:00 PM,10/24/2022 14:06,10,17.36,38.4208,0.0198,0.0379,0.0941,8.74,0.99
Site2,10/24/2022,2:11:00 PM,10/24/2022 14:11,10,17.53,32.7968,0.0169,0.0381,0.0952,8.78,0.99
Site2,10/24/2022,2:16:00 PM,10/24/2022 14:16,10,17.53,32.7968,0.0169,0.0381,0.0952,8.78,0.99
Site2,10/24/2022,2:21:00 PM,10/24/2022 14:21,10,17.59,31.9443,0.0165,0.0381,0.0956,8.8,0.99
Site2,10/24/2022,2:26:00 PM,10/24/2022 14:26,10,17.59,31.9443,0.0165,0.0381,0.0956,8.8,0.99
Site2,10/24/2022,2:31:00 PM,10/24/2022 14:31,10,17.74,60.7629,0.0314,0.0382,0.0966,8.69,0.99
Site2,10/24/2022,2:36:00 PM,10/24/2022 14:36,10,17.74,60.7629,0.0314,0.0382,0.0966,8.69,0.99
Site2,10/24/2022,2:41:00 PM,10/24/2022 14:41,10,17.83,40.5757,0.0209,0.0383,0.0972,8.72,0.99
Site2,10/24/2022,2:46:00 PM,10/24/2022 14:46,10,17.83,40.5757,0.0209,0.0383,0.0972,8.72,0.99
Site2,10/24/2022,2:51:00 PM,10/24/2022 14:51,10,17.84,36.8224,0.019,0.0383,0.0973,8.61,0.99
Site2,10/24/2022,2:56:00 PM,10/24/2022 14:56,10,17.84,36.8224,0.019,0.0383,0.0973,8.61,0.99
Site2,10/24/2022,3:01:00 PM,10/24/2022 15:01,10,17.88,48.0586,0.0248,0.0384,0.0976,8.53,0.99
Site2,10/24/2022,3:06:00 PM,10/24/2022 15:06,10,17.88,48.0586,0.0248,0.0384,0.0976,8.53,0.99
Site2,10/24/2022,3:11:00 PM,10/24/2022 15:11,10,18.03,54.0378,0.0279,0.0385,0.0986,8.55,0.99
Site2,10/24/2022,3:16:00 PM,10/24/2022 15:16,10,18.03,54.0378,0.0279,0.0385,0.0986,8.55,0.99
Site2,10/24/2022,3:21:00 PM,10/24/2022 15:21,10,18.21,57.2346,0.0295,0.0387,0.0998,8.49,0.99
Site2,10/24/2022,3:26:00 PM,10/24/2022 15:26,10,18.21,57.2346,0.0295,0.0387,0.0998,8.49,0.99
Site2,10/24/2022,3:31:00 PM,10/24/2022 15:31,10,18.31,60.5261,0.0312,0.0388,0.1005,8.43,0.99
Site2,10/24/2022,3:36:00 PM,10/24/2022 15:36,10,18.31,60.5261,0.0312,0.0388,0.1005,8.43,0.99
Site2,10/24/2022,3:41:00 PM,10/24/2022 15:41,10,18.37,48.3309,0.0249,0.0388,0.1009,8.4,0.99
Site2,10/24/2022,3:46:00 PM,10/24/2022 15:46,10,18.37,48.3309,0.0249,0.0388,0.1009,8.4,0.99
Site2,10/24/2022,3:51:00 PM,10/24/2022 15:51,10,18.3,22.8334,0.0118,0.0388,0.1005,8.36,0.99
Site2,10/24/2022,3:56:00 PM,10/24/2022 15:56,10,18.3,22.8334,0.0118,0.0388,0.1005,8.36,0.99
Site2,10/24/2022,4:01:00 PM,10/24/2022 16:01,10,18.22,22.5315,0.0116,0.0387,0.0999,8.19,0.99
Site2,10/24/2022,4:06:00 PM,10/24/2022 16:06,10,18.22,22.5315,0.0116,0.0387,0.0999,8.19,0.99
Site2,10/24/2022,4:11:00 PM,10/24/2022 16:11,10,18.17,21.164,0.0109,0.0386,0.0995,8.13,0.99
Site2,10/24/2022,4:16:00 PM,10/24/2022 16:16,10,18.17,21.164,0.0109,0.0386,0.0995,8.13,0.99
Site2,10/24/2022,4:21:00 PM,10/24/2022 16:21,10,18.13,18.8966,0.0098,0.0386,0.0992,8.08,0.99
Site2,10/24/2022,4:26:00 PM,10/24/2022 16:26,10,18.13,18.8966,0.0098,0.0386,0.0992,8.08,0.99
Site2,10/24/2022,4:31:00 PM,10/24/2022 16:31,10,18.08,15.9603,0.0082,0.0386,0.0989,8.03,0.99
Site2,10/24/2022,4:36:00 PM,10/24/2022 16:36,10,18.08,15.9603,0.0082,0.0386,0.0989,8.03,0.99
Site2,10/24/2022,4:41:00 PM,10/24/2022 16:41,10,18,12.1893,0.0063,0.0385,0.0984,7.93,0.99
Site2,10/24/2022,4:46:00 PM,10/24/2022 16:46,10,18,12.1893,0.0063,0.0385,0.0984,7.93,0.99
Site2,10/24/2022,4:51:00 PM,10/24/2022 16:51,10,17.91,14.5514,0.0075,0.0384,0.0978,7.76,0.99
Site2,10/24/2022,4:56:00 PM,10/24/2022 16:56,10,17.91,14.5514,0.0075,0.0384,0.0978,7.76,0.99
Site2,10/24/2022,5:01:00 PM,10/24/2022 17:01,10,17.81,19.5893,0.0101,0.0383,0.0971,7.74,0.99
Site2,10/24/2022,5:06:00 PM,10/24/2022 17:06,10,17.81,19.5893,0.0101,0.0383,0.0971,7.74,0.99
Site2,10/24/2022,5:11:00 PM,10/24/2022 17:11,10,17.73,12.6333,0.0065,0.0382,0.0965,7.73,0.99
Site2,10/24/2022,5:16:00 PM,10/24/2022 17:16,10,17.73,12.6333,0.0065,0.0382,0.0965,7.73,0.99
Site2,10/24/2022,5:21:00 PM,10/24/2022 17:21,10,17.66,10.6678,0.0055,0.0382,0.0961,7.62,0.99
Site2,10/24/2022,5:26:00 PM,10/24/2022 17:26,10,17.66,10.6678,0.0055,0.0382,0.0961,7.62,0.99
Site2,10/24/2022,5:31:00 PM,10/24/2022 17:31,10,17.56,5.2259,0.0027,0.0381,0.0954,7.53,0.99
Site2,10/24/2022,5:36:00 PM,10/24/2022 17:36,10,17.56,5.2259,0.0027,0.0381,0.0954,7.53,0.99
Site2,10/24/2022,5:41:00 PM,10/24/2022 17:41,10,17.48,3.0148,0.0016,0.038,0.0949,7.42,0.99
Site2,10/24/2022,5:46:00 PM,10/24/2022 17:46,10,17.48,3.0148,0.0016,0.038,0.0949,7.42,0.99
Site2,10/24/2022,5:51:00 PM,10/24/2022 17:51,10,17.33,1.8197,0.0009,0.0379,0.0939,7.25,0.99
Site2,10/24/2022,5:56:00 PM,10/24/2022 17:56,10,17.33,1.8197,0.0009,0.0379,0.0939,7.25,0.99
Site2,10/24/2022,6:01:00 PM,10/24/2022 18:01,10,17.23,0.617,0.0003,0.0378,0.0933,7.09,0.99
Site2,10/24/2022,6:06:00 PM,10/24/2022 18:06,10,17.23,0.617,0.0003,0.0378,0.0933,7.09,0.99
Site2,10/24/2022,6:11:00 PM,10/24/2022 18:11,10,17.06,0.0757,0,0.0376,0.0922,7.05,0.99
Site2,10/24/2022,6:16:00 PM,10/24/2022 18:16,10,17.06,0.0757,0,0.0376,0.0922,7.05,0.99
Site2,10/24/2022,6:21:00 PM,10/24/2022 18:21,10,16.89,0,0,0.0375,0.0911,7.02,0.99
Site2,10/24/2022,6:26:00 PM,10/24/2022 18:26,10,16.89,0,0,0.0375,0.0911,7.02,0.99
